iter	MAE
195	7.255614549
196	7.252634401
197	7.243406968
198	7.236510413
199	7.22208341
200	7.221723063
201	7.189361431
202	7.161265807
203	7.147683335
204	7.139437844
205	7.132101472
206	7.12589924
207	7.108637553
208	7.104364281
209	7.100354449
210	7.091888064
211	7.074334988
212	7.070446849
213	7.056252216
214	7.031685663
215	7.023819542
216	7.017167574
217	7.008130354
218	7.001916601
219	6.991935547
220	6.972719654
221	6.96117915
222	6.942994618
223	6.918958248
224	6.912330499
225	6.910062589
226	6.906250074
227	6.881132583
228	6.878044253
229	6.869600396
230	6.859969798
231	6.837845625
232	6.831495376
233	6.800388985
234	6.793903163
235	6.781170498
236	6.776172666
237	6.764919828
238	6.743866686
239	6.73519699
240	6.731237591
241	6.709892049
242	6.698203115
243	6.691932298
244	6.684736721
245	6.674617697
246	6.666774471
247	6.648300753
248	6.639499885
249	6.630578353
250	6.618682705
251	6.610471564
252	6.589519655
253	6.574346428
254	6.550040074
255	6.536767722
256	6.521277179
257	6.512862279
258	6.506170924
259	6.476250787
260	6.456174639
261	6.449230688
262	6.440662301
263	6.43354975
264	6.41977389
265	6.411101721
266	6.396931071
267	6.382847558
268	6.366574845
269	6.365563006
270	6.355314425
271	6.350060861
272	6.343581197
273	6.326702709
274	6.316646388
275	6.277326716
276	6.271962877
277	6.260775307
278	6.245529766
279	6.241184658
280	6.232292797
281	6.219849936
282	6.20762058
283	6.198119528
284	6.17971915
285	6.176516475
286	6.17305187
287	6.166682524
288	6.152906078
289	6.149569074
290	6.142615499
291	6.134538563
292	6.129393785
293	6.120897103
294	6.109423318
295	6.090124235
296	6.085738613
297	6.060947363
298	6.059273532
299	6.046107786
300	6.043233189
301	6.036630526
302	6.034533213
303	6.03116644
304	6.025125349
305	6.016371821
306	6.012532032
307	6.00125425
308	5.994383817
309	5.992199161
310	5.987541902
311	5.983549245
312	5.97758678
313	5.967712561
314	5.962503062
315	5.95337343
316	5.948913505
317	5.945317398
318	5.932150912
319	5.926631922
320	5.925377353
321	5.914319164
322	5.901677685
323	5.887550958
324	5.873782721
325	5.86830652
326	5.860496402
327	5.857215813
328	5.844208206
329	5.832650875
330	5.827592974
331	5.81761766
332	5.813890511
333	5.80563215
334	5.804564064
335	5.793041631
336	5.779799241
337	5.777364571
338	5.765025658
339	5.762861989
340	5.751648241
341	5.7471635
342	5.738093107
343	5.731174409
344	5.7291541
345	5.724405948
346	5.715547659
347	5.706854404
348	5.686355221
349	5.679387819
350	5.661945564
351	5.654633961
352	5.649489307
353	5.645151136
354	5.634330154
355	5.627600818
356	5.613601832
357	5.607723063
358	5.5947816
359	5.587419949
360	5.582510627
361	5.5797923
362	5.554101722
363	5.552375421
364	5.549681595
365	5.519834385
366	5.51622332
367	5.499480221
368	5.494536704
369	5.491069499
370	5.482024171
371	5.479799451
372	5.472345173
373	5.457466293
374	5.450986447
375	5.449870429
376	5.447811408
377	5.439698627
378	5.43693513
379	5.435064266
380	5.421036702
381	5.401215774
382	5.396182559
383	5.393568917
384	5.388353369
385	5.377835476
386	5.360089224
387	5.352159856
388	5.349963738
389	5.336484841
390	5.32956775
391	5.321614852
392	5.315004178
393	5.309436335
394	5.301064632
395	5.295616061
396	5.289922887
397	5.279346936
398	5.262175087
399	5.256728613
400	5.251236505
401	5.24475186
402	5.23837359
403	5.2296984
404	5.220144998
405	5.218899779
406	5.217305799
407	5.212774955
408	5.209210407
409	5.206949184
410	5.201984315
411	5.197189139
412	5.192142396
413	5.187350271
414	5.183865956
415	5.179305362
416	5.175734126
417	5.160934188
418	5.15339634
419	5.14567964
420	5.119644584
421	5.113708775
422	5.112326288
423	5.11084414
424	5.104335999
425	5.089845105
426	5.083728582
427	5.074733906
428	5.067095804
429	5.062132547
430	5.056696841
431	5.042383382
432	5.039209788
433	5.035717385
434	5.031940561
435	5.021176447
436	5.012427243
437	5.010474523
438	5.009036616
439	5.007549545
440	5.005776408
441	4.994242448
442	4.990455963
443	4.983233629
444	4.979568302
445	4.973425519
446	4.963433955
447	4.958625697
448	4.956814764
449	4.947099278
450	4.945834903
451	4.933271345
452	4.92392421
453	4.907906159
454	4.906917736
455	4.90035646
456	4.898421586
457	4.895036712
458	4.890478749
459	4.886861016
460	4.885536489
461	4.879300324
462	4.857063509
463	4.854590208
464	4.851504689
465	4.848870264
466	4.843645236
467	4.839168278
468	4.838003565
469	4.828124577
470	4.818868546
471	4.814471819
472	4.810653971
473	4.801068467
474	4.791743663
475	4.783393219
476	4.78115694
477	4.774494899
478	4.766433032
479	4.76245939
480	4.756122753
481	4.753298746
482	4.752262039
483	4.746849018
484	4.744764248
485	4.74207431
486	4.739074698
487	4.730166132
488	4.729643584
489	4.725703334
490	4.724204399
491	4.715574936
492	4.70888546
493	4.708339219
494	4.703471315
495	4.702265933
496	4.697703112
497	4.682032881
498	4.670187685
499	4.658300217
500	4.654298936
501	4.650466058
502	4.644943188
503	4.627232842
504	4.623374738
505	4.621778209
506	4.621386545
507	4.620103342
508	4.612567621
509	4.611927706
510	4.598937445
511	4.598629002
512	4.592481727
513	4.590106512
514	4.589023139
515	4.58387138
516	4.582833911
517	4.578228266
518	4.573054841
519	4.572162246
520	4.556686783
521	4.553812628
522	4.548065801
523	4.537412164
524	4.524695624
525	4.522854495
526	4.514245841
527	4.512322936
528	4.510422626
529	4.505318268
530	4.489653551
531	4.488487205
532	4.481088197
533	4.476576383
534	4.474243174
535	4.463455771
536	4.462796411
537	4.458796708
538	4.439598263
539	4.435946435
540	4.434583799
541	4.431652996
542	4.429146341
543	4.426434756
544	4.418294794
545	4.417273786
546	4.412630067
547	4.407875514
548	4.40542474
549	4.40253663
550	4.391410878
551	4.390208971
552	4.38283596
553	4.37702657
554	4.376173267
555	4.36293493
556	4.362620458
557	4.359445858
558	4.347174209
559	4.345954391
560	4.344764954
561	4.342526225
562	4.339856933
563	4.339014189
564	4.327709828
565	4.321365457
566	4.320164138
567	4.316283835
568	4.306798753
569	4.301655922
570	4.298398601
571	4.293679294
572	4.282122039
573	4.273751931
574	4.266809468
575	4.251980422
576	4.249417381
577	4.244457045
578	4.238319746
579	4.236212336
580	4.230843496
581	4.225340737
582	4.223153664
583	4.216325838
584	4.213080519
585	4.210483031
586	4.208970912
587	4.203260903
588	4.198061937
589	4.193351672
590	4.192230036
591	4.186120049
592	4.183479486
593	4.177702992
594	4.173060744
595	4.17195025
596	4.170489902
597	4.164204888
598	4.161766847
599	4.15788903
600	4.144134147
601	4.142254026
602	4.139617801
603	4.139279134
604	4.137841319
605	4.133259178
606	4.128003288
607	4.125555219
608	4.125385022
609	4.121174384
610	4.117422574
611	4.117308014
612	4.108744091
613	4.106498943
614	4.100667826
615	4.087611214
616	4.084376999
617	4.079102865
618	4.071996674
619	4.060172575
620	4.058271544
621	4.05435601
622	4.052653779
623	4.048449937
624	4.045880858
625	4.045172721
626	4.033251672
627	4.032609664
628	4.029435889
629	4.028448012
630	4.025221103
631	4.024403389
632	4.022024738
633	4.021489536
634	4.017338599
635	4.007143459
636	4.00656269
637	4.006376732
638	4.00561354
639	4.002789921
640	3.996610455
641	3.996407809
642	3.991612504
643	3.990686512
644	3.9901973
645	3.988897547
646	3.986833822
647	3.985635739
648	3.97713591
649	3.97634256
650	3.975861125
651	3.974622605
652	3.970423558
653	3.96730102
654	3.963082412
655	3.958129499
656	3.957399329
657	3.951633987
658	3.947266092
659	3.944698082
660	3.941055463
661	3.940855906
662	3.936811833
663	3.92630964
664	3.922270725
665	3.918755047
666	3.916434557
667	3.908245508
668	3.907723961
669	3.904093187
670	3.900472655
671	3.897575493
672	3.897054818
673	3.893100492
674	3.889948242
675	3.88589688
676	3.885356028
677	3.883946057
678	3.883123951
679	3.880614437
680	3.879371915
681	3.877293867
682	3.872423972
683	3.871397519
684	3.867780044
685	3.865407362
686	3.862792085
687	3.862120909
688	3.858217745
689	3.857164607
690	3.854842871
691	3.853500149
692	3.852368455
693	3.849705986
694	3.842396305
695	3.842045562
696	3.83799606
697	3.837325159
698	3.832722728
699	3.831471457
700	3.829489433
701	3.821720032
702	3.815047221
703	3.80688932
704	3.805813873
705	3.801686338
706	3.799730032
707	3.797010557
708	3.795284431
709	3.78940079
710	3.785759612
711	3.781806569
712	3.778884689
713	3.776253904
714	3.77522349
715	3.770613706
716	3.759393976
717	3.756588709
718	3.751026741
719	3.74933012
720	3.747168433
721	3.745088632
722	3.739796216
723	3.734673881
724	3.728435934
725	3.726218551
726	3.723638957
727	3.713696725
728	3.713176799
729	3.711035864
730	3.710129805
731	3.709034518
732	3.708257315
733	3.70405578
734	3.703670667
735	3.701500026
736	3.70061727
737	3.695704407
738	3.694979518
739	3.693916489
740	3.686205383
741	3.685358923
742	3.685001203
743	3.683312877
744	3.681360062
745	3.680797136
746	3.678975185
747	3.677353349
748	3.67549754
749	3.668483605
750	3.667577652
751	3.665687662
752	3.663139736
753	3.659182682
754	3.653397027
755	3.644839653
756	3.639010584
757	3.637764538
758	3.635633349
759	3.633413516
760	3.629472956
761	3.619308339
762	3.619159643
763	3.611494467
764	3.610740199
765	3.610327152
766	3.607637677
767	3.605589636
768	3.60340694
769	3.594617194
770	3.591405401
771	3.589590236
772	3.586368748
773	3.574776698
774	3.565758435
775	3.565089515
776	3.563211574
777	3.562666581
778	3.560294845
779	3.559395379
780	3.555388149
781	3.546654273
782	3.542607595
783	3.540153649
784	3.539293929
785	3.535181649
786	3.533155156
787	3.528019961
788	3.527443231
789	3.522484599
790	3.513857907
791	3.512409292
792	3.509160526
793	3.505659997
794	3.504637762
795	3.494196467
796	3.491443798
797	3.4906665
798	3.48053169
799	3.479627752
800	3.479101386
801	3.478584392
802	3.474371162
803	3.468081656
804	3.468010616
805	3.457467912
806	3.456316858
807	3.456199052
808	3.455568733
809	3.454597461
810	3.451728028
811	3.44833154
812	3.441974688
813	3.440972727
814	3.440018999
815	3.438348395
816	3.435990068
817	3.434103388
818	3.432540953
819	3.429906646
820	3.423007355
821	3.42278625
822	3.420079292
823	3.415790443
824	3.413463646
